"ZIP
code [1]"	Size of adjusted gross income	Number of returns
12803	$25,000 under $50,000	1070
12803	$50,000 under $75,000	630
12803	$75,000 under $100,000	460
12803	$100,000 under $200,000	400
12803	$200,000 or more	30
		
12804		13,530
12804	$1 under $25,000	4860
12804	$25,000 under $50,000	2790
12804	$50,000 under $75,000	1880
12804	$75,000 under $100,000	1390
12804	$100,000 under $200,000	2090
12804	$200,000 or more	520
		
12808		170
12808	$1 under $25,000	50
12808	$25,000 under $50,000	30
12808	$50,000 under $75,000	50
12808	$75,000 under $100,000	**
12808	$100,000 under $200,000	40
12808	$200,000 or more	**
		
12809		1,640
12809	$1 under $25,000	580
12809	$25,000 under $50,000	430
12809	$50,000 under $75,000	260
12809	$75,000 under $100,000	180
12809	$100,000 under $200,000	190
12809	$200,000 or more	**
		
12810		290
12810	$1 under $25,000	130
12810	$25,000 under $50,000	90
12810	$50,000 under $75,000	50
12810	$75,000 under $100,000	**
12810	$100,000 under $200,000	20
12810	$200,000 or more	**
		
12814		900
12814	$1 under $25,000	390
12814	$25,000 under $50,000	180
12814	$50,000 under $75,000	100
12814	$75,000 under $100,000	80
12814	$100,000 under $200,000	110
12814	$200,000 or more	40
		
12815		500
12815	$1 under $25,000	160
12815	$25,000 under $50,000	140
12815	$50,000 under $75,000	80
12815	$75,000 under $100,000	50
12815	$100,000 under $200,000	70
12815	$200,000 or more	**
		
12816		2,080
12816	$1 under $25,000	750
12816	$25,000 under $50,000	530
12816	$50,000 under $75,000	330
12816	$75,000 under $100,000	220
12816	$100,000 under $200,000	220
12816	$200,000 or more	30
		
12817		1,100
12817	$1 under $25,000	390
12817	$25,000 under $50,000	260
12817	$50,000 under $75,000	170
12817	$75,000 under $100,000	120
12817	$100,000 under $200,000	140
12817	$200,000 or more	20
		
12819		130
12819	$1 under $25,000	60
12819	$25,000 under $50,000	50
12819	$50,000 under $75,000	**
12819	$75,000 under $100,000	20
12819	$100,000 under $200,000	**
12819	$200,000 or more	**
		
12821		150
12821	$1 under $25,000	50
12821	$25,000 under $50,000	40
12821	$50,000 under $75,000	30
12821	$75,000 under $100,000	30
12821	$100,000 under $200,000	**
12821	$200,000 or more	0
		
12822		2,780
12822	$1 under $25,000	1070
12822	$25,000 under $50,000	750
12822	$50,000 under $75,000	450
12822	$75,000 under $100,000	270
12822	$100,000 under $200,000	240
12822	$200,000 or more	**
		
12823		140
12823	$1 under $25,000	40
12823	$25,000 under $50,000	40
12823	$50,000 under $75,000	40
12823	$75,000 under $100,000	**
12823	$100,000 under $200,000	20
12823	$200,000 or more	**
		
12824		390
12824	$1 under $25,000	150
12824	$25,000 under $50,000	70
12824	$50,000 under $75,000	50
12824	$75,000 under $100,000	40
12824	$100,000 under $200,000	60
12824	$200,000 or more	20
		
12827		1,930
12827	$1 under $25,000	710
12827	$25,000 under $50,000	490
12827	$50,000 under $75,000	320
12827	$75,000 under $100,000	200
12827	$100,000 under $200,000	190
12827	$200,000 or more	20
		
12828		4,730
12828	$1 under $25,000	1860
12828	$25,000 under $50,000	1240
12828	$50,000 under $75,000	700
12828	$75,000 under $100,000	430
12828	$100,000 under $200,000	470
12828	$200,000 or more	30
		
12831		8,380
12831	$1 under $25,000	2650
12831	$25,000 under $50,000	1630
12831	$50,000 under $75,000	1180
12831	$75,000 under $100,000	930
12831	$100,000 under $200,000	1670
12831	$200,000 or more	320
		
12832		2,760
12832	$1 under $25,000	1160
12832	$25,000 under $50,000	710
12832	$50,000 under $75,000	390
12832	$75,000 under $100,000	260
12832	$100,000 under $200,000	220
12832	$200,000 or more	20
		
12833		2,240
12833	$1 under $25,000	760
12833	$25,000 under $50,000	490
12833	$50,000 under $75,000	300
12833	$75,000 under $100,000	250
12833	$100,000 under $200,000	330
12833	$200,000 or more	110
		
12834		3,200
12834	$1 under $25,000	1150
12834	$25,000 under $50,000	730
12834	$50,000 under $75,000	470
12834	$75,000 under $100,000	350
12834	$100,000 under $200,000	430
12834	$200,000 or more	70
		
12835		1,250
12835	$1 under $25,000	480
12835	$25,000 under $50,000	300
12835	$50,000 under $75,000	210
12835	$75,000 under $100,000	130
12835	$100,000 under $200,000	130
12835	$200,000 or more	**
		
12836		280
12836	$1 under $25,000	110
12836	$25,000 under $50,000	70
12836	$50,000 under $75,000	30
12836	$75,000 under $100,000	20
12836	$100,000 under $200,000	50
12836	$200,000 or more	**
		
12837		350
12837	$1 under $25,000	140
12837	$25,000 under $50,000	100
12837	$50,000 under $75,000	50
12837	$75,000 under $100,000	40
12837	$100,000 under $200,000	20
12837	$200,000 or more	**
		
12838		340
12838	$1 under $25,000	120
12838	$25,000 under $50,000	90
12838	$50,000 under $75,000	50
12838	$75,000 under $100,000	40
12838	$100,000 under $200,000	40
12838	$200,000 or more	**
		
12839		6,390
12839	$1 under $25,000	2680
12839	$25,000 under $50,000	1790
12839	$50,000 under $75,000	930
12839	$75,000 under $100,000	540
12839	$100,000 under $200,000	420
12839	$200,000 or more	30
		
12842		610
12842	$1 under $25,000	230
12842	$25,000 under $50,000	160
12842	$50,000 under $75,000	90
12842	$75,000 under $100,000	60
12842	$100,000 under $200,000	70
12842	$200,000 or more	**
		
12843		270
12843	$1 under $25,000	110
12843	$25,000 under $50,000	60
12843	$50,000 under $75,000	60
12843	$75,000 under $100,000	**
12843	$100,000 under $200,000	40
12843	$200,000 or more	**
		
12844		140
12844	$1 under $25,000	40
12844	$25,000 under $50,000	20
12844	$50,000 under $75,000	30
12844	$75,000 under $100,000	**
12844	$100,000 under $200,000	50
12844	$200,000 or more	**
		
12845		2,610
12845	$1 under $25,000	1090
12845	$25,000 under $50,000	530
12845	$50,000 under $75,000	310
12845	$75,000 under $100,000	230
12845	$100,000 under $200,000	340
12845	$200,000 or more	110
		
12846		1,590
12846	$1 under $25,000	650
12846	$25,000 under $50,000	390
12846	$50,000 under $75,000	250
12846	$75,000 under $100,000	140
12846	$100,000 under $200,000	140
12846	$200,000 or more	20
		
12847		340
12847	$1 under $25,000	130
12847	$25,000 under $50,000	80
12847	$50,000 under $75,000	60
12847	$75,000 under $100,000	30
12847	$100,000 under $200,000	40
12847	$200,000 or more	**
		
12849		310
12849	$1 under $25,000	120
12849	$25,000 under $50,000	70
12849	$50,000 under $75,000	40
12849	$75,000 under $100,000	40
12849	$100,000 under $200,000	40
12849	$200,000 or more	**
		
12850		1,350
12850	$1 under $25,000	410
12850	$25,000 under $50,000	320
12850	$50,000 under $75,000	210
12850	$75,000 under $100,000	150
12850	$100,000 under $200,000	220
12850	$200,000 or more	40
		
12851		150
12851	$1 under $25,000	70
12851	$25,000 under $50,000	60
12851	$50,000 under $75,000	**
12851	$75,000 under $100,000	20
12851	$100,000 under $200,000	**
12851	$200,000 or more	**
		
12852		210
12852	$1 under $25,000	70
12852	$25,000 under $50,000	50
12852	$50,000 under $75,000	40
12852	$75,000 under $100,000	20
12852	$100,000 under $200,000	30
12852	$200,000 or more	**
		
12853		650
12853	$1 under $25,000	280
12853	$25,000 under $50,000	180
12853	$50,000 under $75,000	80
12853	$75,000 under $100,000	50
12853	$100,000 under $200,000	60
12853	$200,000 or more	**
		
12855		120
12855	$1 under $25,000	50
12855	$25,000 under $50,000	30
12855	$50,000 under $75,000	20
12855	$75,000 under $100,000	20
12855	$100,000 under $200,000	**
12855	$200,000 or more	0
		
12857		270
12857	$1 under $25,000	100
12857	$25,000 under $50,000	70
12857	$50,000 under $75,000	40
12857	$75,000 under $100,000	30
12857	$100,000 under $200,000	30
12857	$200,000 or more	**
		
12859		1,040
12859	$1 under $25,000	340
12859	$25,000 under $50,000	250
12859	$50,000 under $75,000	170
12859	$75,000 under $100,000	130
12859	$100,000 under $200,000	150
12859	$200,000 or more	**
		
12860		350
12860	$1 under $25,000	150
12860	$25,000 under $50,000	110
12860	$50,000 under $75,000	40
12860	$75,000 under $100,000	30
12860	$100,000 under $200,000	20
12860	$200,000 or more	**
		
12861		300
12861	$1 under $25,000	110
12861	$25,000 under $50,000	70
12861	$50,000 under $75,000	40
12861	$75,000 under $100,000	30
12861	$100,000 under $200,000	50
12861	$200,000 or more	**
		
12863		360
12863	$1 under $25,000	110
12863	$25,000 under $50,000	90
12863	$50,000 under $75,000	50
12863	$75,000 under $100,000	50
12863	$100,000 under $200,000	60
12863	$200,000 or more	**
		
12865		1,630
12865	$1 under $25,000	620
12865	$25,000 under $50,000	450
12865	$50,000 under $75,000	240
12865	$75,000 under $100,000	150
12865	$100,000 under $200,000	140
12865	$200,000 or more	30
		
12866		19,230
12866	$1 under $25,000	5660
12866	$25,000 under $50,000	3950
12866	$50,000 under $75,000	2660
12866	$75,000 under $100,000	2020
12866	$100,000 under $200,000	3370
12866	$200,000 or more	1570
		
12870		800
12870	$1 under $25,000	310
12870	$25,000 under $50,000	230
12870	$50,000 under $75,000	110
12870	$75,000 under $100,000	70
12870	$100,000 under $200,000	80
12870	$200,000 or more	**
		
12871		1,970
12871	$1 under $25,000	700
12871	$25,000 under $50,000	460
12871	$50,000 under $75,000	300
12871	$75,000 under $100,000	240
12871	$100,000 under $200,000	240
12871	$200,000 or more	30
		
12873		370
12873	$1 under $25,000	130
12873	$25,000 under $50,000	80
12873	$50,000 under $75,000	70
12873	$75,000 under $100,000	40
12873	$100,000 under $200,000	50
12873	$200,000 or more	**
		
12878		310
12878	$1 under $25,000	140
12878	$25,000 under $50,000	70
12878	$50,000 under $75,000	50
12878	$75,000 under $100,000	50
12878	$100,000 under $200,000	**
12878	$200,000 or more	0
		
12883		2,290
12883	$1 under $25,000	960
12883	$25,000 under $50,000	540
12883	$50,000 under $75,000	330
12883	$75,000 under $100,000	200
12883	$100,000 under $200,000	230
12883	$200,000 or more	30
		
12885		2,200
12885	$1 under $25,000	990
12885	$25,000 under $50,000	560
12885	$50,000 under $75,000	310
12885	$75,000 under $100,000	170
12885	$100,000 under $200,000	170
12885	$200,000 or more	**
		
12886		120
12886	$1 under $25,000	50
12886	$25,000 under $50,000	30
12886	$50,000 under $75,000	40
12886	$75,000 under $100,000	**
12886	$100,000 under $200,000	**
12886	$200,000 or more	**
		
12887		2,150
12887	$1 under $25,000	840
12887	$25,000 under $50,000	580
12887	$50,000 under $75,000	370
12887	$75,000 under $100,000	200
12887	$100,000 under $200,000	160
12887	$200,000 or more	**
		
12901		14,200
12901	$1 under $25,000	5790
12901	$25,000 under $50,000	3690
12901	$50,000 under $75,000	1890
12901	$75,000 under $100,000	1190
12901	$100,000 under $200,000	1350
12901	$200,000 or more	290
		
12903		790
12903	$1 under $25,000	200
12903	$25,000 under $50,000	200
12903	$50,000 under $75,000	170
12903	$75,000 under $100,000	110
12903	$100,000 under $200,000	110
12903	$200,000 or more	**
		
12910		740
12910	$1 under $25,000	280
12910	$25,000 under $50,000	210
12910	$50,000 under $75,000	110
12910	$75,000 under $100,000	80
12910	$100,000 under $200,000	60
12910	$200,000 or more	**
		
12912		970
12912	$1 under $25,000	370
12912	$25,000 under $50,000	290
12912	$50,000 under $75,000	140
12912	$75,000 under $100,000	90
12912	$100,000 under $200,000	80
12912	$200,000 or more	**
		
12913		540
12913	$1 under $25,000	200
12913	$25,000 under $50,000	140
12913	$50,000 under $75,000	80
12913	$75,000 under $100,000	70
12913	$100,000 under $200,000	50
12913	$200,000 or more	**
		
12914		320
12914	$1 under $25,000	130
12914	$25,000 under $50,000	90
12914	$50,000 under $75,000	50
12914	$75,000 under $100,000	30
12914	$100,000 under $200,000	20
12914	$200,000 or more	**
		
12916		910
12916	$1 under $25,000	390
12916	$25,000 under $50,000	230
12916	$50,000 under $75,000	150
12916	$75,000 under $100,000	90
12916	$100,000 under $200,000	50
12916	$200,000 or more	**
		
12917		610
12917	$1 under $25,000	250
12917	$25,000 under $50,000	140
12917	$50,000 under $75,000	100
12917	$75,000 under $100,000	70
12917	$100,000 under $200,000	50
12917	$200,000 or more	0
		
12918		1,190
12918	$1 under $25,000	410
12918	$25,000 under $50,000	310
12918	$50,000 under $75,000	170
12918	$75,000 under $100,000	140
12918	$100,000 under $200,000	160
12918	$200,000 or more	**
		
12919		1,530
12919	$1 under $25,000	580
12919	$25,000 under $50,000	400
12919	$50,000 under $75,000	230
12919	$75,000 under $100,000	150
12919	$100,000 under $200,000	170
12919	$200,000 or more	**
		
12920		1,030
12920	$1 under $25,000	350
12920	$25,000 under $50,000	260
12920	$50,000 under $75,000	180
12920	$75,000 under $100,000	110
12920	$100,000 under $200,000	130
12920	$200,000 or more	**
		
12921		1,260
12921	$1 under $25,000	490
12921	$25,000 under $50,000	300
12921	$50,000 under $75,000	160
12921	$75,000 under $100,000	120
12921	$100,000 under $200,000	160
12921	$200,000 or more	30
		
12923		230
12923	$1 under $25,000	90
12923	$25,000 under $50,000	60
12923	$50,000 under $75,000	40
12923	$75,000 under $100,000	20
12923	$100,000 under $200,000	20
12923	$200,000 or more	0
		
12926		890
12926	$1 under $25,000	350
12926	$25,000 under $50,000	270
12926	$50,000 under $75,000	130
12926	$75,000 under $100,000	70
12926	$100,000 under $200,000	70
12926	$200,000 or more	**
		
12928		890
12928	$1 under $25,000	320
12928	$25,000 under $50,000	250
12928	$50,000 under $75,000	130
12928	$75,000 under $100,000	90
12928	$100,000 under $200,000	100
12928	$200,000 or more	**
		
12930		270
12930	$1 under $25,000	120
12930	$25,000 under $50,000	70
12930	$50,000 under $75,000	40
12930	$75,000 under $100,000	40
12930	$100,000 under $200,000	**
12930	$200,000 or more	**
		
12932		660
12932	$1 under $25,000	260
12932	$25,000 under $50,000	170
12932	$50,000 under $75,000	90
12932	$75,000 under $100,000	60
12932	$100,000 under $200,000	80
12932	$200,000 or more	**
		
12934		410
12934	$1 under $25,000	160
12934	$25,000 under $50,000	110
12934	$50,000 under $75,000	70
12934	$75,000 under $100,000	40
12934	$100,000 under $200,000	30
12934	$200,000 or more	**
		
12935		680
12935	$1 under $25,000	240
12935	$25,000 under $50,000	200
12935	$50,000 under $75,000	100
12935	$75,000 under $100,000	70
12935	$100,000 under $200,000	70
12935	$200,000 or more	**
		
12936		330
12936	$1 under $25,000	130
12936	$25,000 under $50,000	70
12936	$50,000 under $75,000	50
12936	$75,000 under $100,000	30
12936	$100,000 under $200,000	50
12936	$200,000 or more	**
		
12937		600
12937	$1 under $25,000	270
12937	$25,000 under $50,000	140
12937	$50,000 under $75,000	90
12937	$75,000 under $100,000	40
12937	$100,000 under $200,000	60
12937	$200,000 or more	**
		
12941		640
12941	$1 under $25,000	240
12941	$25,000 under $50,000	170
12941	$50,000 under $75,000	100
12941	$75,000 under $100,000	60
12941	$100,000 under $200,000	70
12941	$200,000 or more	**
		
12942		330
12942	$1 under $25,000	130
12942	$25,000 under $50,000	70
12942	$50,000 under $75,000	40
12942	$75,000 under $100,000	40
12942	$100,000 under $200,000	50
12942	$200,000 or more	**
		
12943		220
12943	$1 under $25,000	90
12943	$25,000 under $50,000	40
12943	$50,000 under $75,000	30
12943	$75,000 under $100,000	20
12943	$100,000 under $200,000	40
12943	$200,000 or more	**
		
12944		1,790
12944	$1 under $25,000	700
12944	$25,000 under $50,000	510
12944	$50,000 under $75,000	250
12944	$75,000 under $100,000	170
12944	$100,000 under $200,000	160
12944	$200,000 or more	**
		
12945		320
12945	$1 under $25,000	110
12945	$25,000 under $50,000	80
12945	$50,000 under $75,000	60
12945	$75,000 under $100,000	30
12945	$100,000 under $200,000	40
12945	$200,000 or more	**
		
12946		2,840
12946	$1 under $25,000	1110
12946	$25,000 under $50,000	700
12946	$50,000 under $75,000	440
12946	$75,000 under $100,000	200
12946	$100,000 under $200,000	260
12946	$200,000 or more	130
		
12950		330
12950	$1 under $25,000	130
12950	$25,000 under $50,000	90
12950	$50,000 under $75,000	50
12950	$75,000 under $100,000	30
12950	$100,000 under $200,000	30
12950	$200,000 or more	0
		
12952		260
12952	$1 under $25,000	100
12952	$25,000 under $50,000	80
12952	$50,000 under $75,000	40
12952	$75,000 under $100,000	20
12952	$100,000 under $200,000	20
12952	$200,000 or more	**
		
12953		4,800
12953	$1 under $25,000	2080
12953	$25,000 under $50,000	1140
12953	$50,000 under $75,000	700
12953	$75,000 under $100,000	400
12953	$100,000 under $200,000	410
12953	$200,000 or more	70
		
12955		160
12955	$1 under $25,000	60
12955	$25,000 under $50,000	40
12955	$50,000 under $75,000	30
12955	$75,000 under $100,000	30
12955	$100,000 under $200,000	**
12955	$200,000 or more	**
		
12956		500
12956	$1 under $25,000	190
12956	$25,000 under $50,000	140
12956	$50,000 under $75,000	90
12956	$75,000 under $100,000	50
12956	$100,000 under $200,000	30
12956	$200,000 or more	**
		
12957		740
12957	$1 under $25,000	340
12957	$25,000 under $50,000	210
12957	$50,000 under $75,000	100
12957	$75,000 under $100,000	50
12957	$100,000 under $200,000	40
12957	$200,000 or more	**
		
12958		840
12958	$1 under $25,000	290
12958	$25,000 under $50,000	240
12958	$50,000 under $75,000	130
12958	$75,000 under $100,000	110
12958	$100,000 under $200,000	70
12958	$200,000 or more	**
		
12959		600
12959	$1 under $25,000	230
12959	$25,000 under $50,000	160
12959	$50,000 under $75,000	90
12959	$75,000 under $100,000	50
12959	$100,000 under $200,000	70
12959	$200,000 or more	**
		
12960		470
12960	$1 under $25,000	150
12960	$25,000 under $50,000	140
12960	$50,000 under $75,000	80
12960	$75,000 under $100,000	40
12960	$100,000 under $200,000	60
12960	$200,000 or more	0
		
12961		120
12961	$1 under $25,000	40
12961	$25,000 under $50,000	50
12961	$50,000 under $75,000	**
12961	$75,000 under $100,000	30
12961	$100,000 under $200,000	**
12961	$200,000 or more	0
		
12962		2,640
12962	$1 under $25,000	850
12962	$25,000 under $50,000	610
12962	$50,000 under $75,000	410
12962	$75,000 under $100,000	290
12962	$100,000 under $200,000	430
12962	$200,000 or more	50
		
12965		230
12965	$1 under $25,000	100
12965	$25,000 under $50,000	60
12965	$50,000 under $75,000	30
12965	$75,000 under $100,000	40
12965	$100,000 under $200,000	**
12965	$200,000 or more	**
		
12966		1,210
12966	$1 under $25,000	500
12966	$25,000 under $50,000	320
12966	$50,000 under $75,000	180
12966	$75,000 under $100,000	130
12966	$100,000 under $200,000	80
12966	$200,000 or more	**
		
12967		450
12967	$1 under $25,000	190
12967	$25,000 under $50,000	110
12967	$50,000 under $75,000	70
12967	$75,000 under $100,000	50
12967	$100,000 under $200,000	30
12967	$200,000 or more	**
		
12969		170
12969	$1 under $25,000	60
12969	$25,000 under $50,000	50
12969	$50,000 under $75,000	20
12969	$75,000 under $100,000	40
12969	$100,000 under $200,000	**
12969	$200,000 or more	**
		
12970		150
12970	$1 under $25,000	60
12970	$25,000 under $50,000	40
12970	$50,000 under $75,000	30
12970	$75,000 under $100,000	20
12970	$100,000 under $200,000	**
12970	$200,000 or more	**
		
12972		3,040
12972	$1 under $25,000	990
12972	$25,000 under $50,000	680
12972	$50,000 under $75,000	480
12972	$75,000 under $100,000	340
12972	$100,000 under $200,000	490
12972	$200,000 or more	60
		
12974		640
12974	$1 under $25,000	250
12974	$25,000 under $50,000	180
12974	$50,000 under $75,000	110
12974	$75,000 under $100,000	60
12974	$100,000 under $200,000	40
12974	$200,000 or more	**
		
12978		190
12978	$1 under $25,000	80
12978	$25,000 under $50,000	50
12978	$50,000 under $75,000	30
12978	$75,000 under $100,000	30
12978	$100,000 under $200,000	**
12978	$200,000 or more	0
		
12979		1,220
12979	$1 under $25,000	460
12979	$25,000 under $50,000	270
12979	$50,000 under $75,000	210
12979	$75,000 under $100,000	120
12979	$100,000 under $200,000	160
12979	$200,000 or more	**
		
12980		560
12980	$1 under $25,000	240
12980	$25,000 under $50,000	150
12980	$50,000 under $75,000	90
12980	$75,000 under $100,000	40
12980	$100,000 under $200,000	40
12980	$200,000 or more	**
		
12981		1,090
12981	$1 under $25,000	360
12981	$25,000 under $50,000	270
12981	$50,000 under $75,000	200
12981	$75,000 under $100,000	120
12981	$100,000 under $200,000	140
12981	$200,000 or more	**
		
12983		3,590
12983	$1 under $25,000	1400
12983	$25,000 under $50,000	870
12983	$50,000 under $75,000	530
12983	$75,000 under $100,000	310
12983	$100,000 under $200,000	400
12983	$200,000 or more	80
		
12985		460
12985	$1 under $25,000	180
12985	$25,000 under $50,000	130
12985	$50,000 under $75,000	70
12985	$75,000 under $100,000	40
12985	$100,000 under $200,000	40
12985	$200,000 or more	**
		
12986		2,650
12986	$1 under $25,000	880
12986	$25,000 under $50,000	750
12986	$50,000 under $75,000	500
12986	$75,000 under $100,000	250
12986	$100,000 under $200,000	240
12986	$200,000 or more	30
		
12987		140
12987	$1 under $25,000	60
12987	$25,000 under $50,000	30
12987	$50,000 under $75,000	30
12987	$75,000 under $100,000	**
12987	$100,000 under $200,000	20
12987	$200,000 or more	**
		
12989		460
12989	$1 under $25,000	160
12989	$25,000 under $50,000	110
12989	$50,000 under $75,000	80
12989	$75,000 under $100,000	50
12989	$100,000 under $200,000	60
12989	$200,000 or more	**
		
12992		2,290
12992	$1 under $25,000	810
12992	$25,000 under $50,000	640
12992	$50,000 under $75,000	350
12992	$75,000 under $100,000	260
12992	$100,000 under $200,000	230
12992	$200,000 or more	**
		
12993		740
12993	$1 under $25,000	260
12993	$25,000 under $50,000	190
12993	$50,000 under $75,000	120
12993	$75,000 under $100,000	60
12993	$100,000 under $200,000	110
12993	$200,000 or more	**
		
12996		930
12996	$1 under $25,000	370
12996	$25,000 under $50,000	250
12996	$50,000 under $75,000	140
12996	$75,000 under $100,000	90
12996	$100,000 under $200,000	80
12996	$200,000 or more	**
		
12997		570
12997	$1 under $25,000	220
12997	$25,000 under $50,000	140
12997	$50,000 under $75,000	90
12997	$75,000 under $100,000	50
12997	$100,000 under $200,000	70
12997	$200,000 or more	**
		
12998		220
12998	$1 under $25,000	100
12998	$25,000 under $50,000	60
12998	$50,000 under $75,000	20
12998	$75,000 under $100,000	40
12998	$100,000 under $200,000	**
12998	$200,000 or more	**
		
13021		18,640
13021	$1 under $25,000	7670
13021	$25,000 under $50,000	4370
13021	$50,000 under $75,000	2700
13021	$75,000 under $100,000	1690
13021	$100,000 under $200,000	1880
13021	$200,000 or more	330
		
13026		660
13026	$1 under $25,000	200
13026	$25,000 under $50,000	160
13026	$50,000 under $75,000	110
13026	$75,000 under $100,000	80
13026	$100,000 under $200,000	90
13026	$200,000 or more	20
		
13027		16,370
13027	$1 under $25,000	5060
13027	$25,000 under $50,000	3410
13027	$50,000 under $75,000	2450
13027	$75,000 under $100,000	1810
13027	$100,000 under $200,000	2940
13027	$200,000 or more	700
		
13028		570
13028	$1 under $25,000	220
13028	$25,000 under $50,000	130
13028	$50,000 under $75,000	100
13028	$75,000 under $100,000	60
13028	$100,000 under $200,000	60
13028	$200,000 or more	**
		
13029		3,480
13029	$1 under $25,000	1170
13029	$25,000 under $50,000	690
13029	$50,000 under $75,000	500
13029	$75,000 under $100,000	410
13029	$100,000 under $200,000	600
13029	$200,000 or more	110
		
13030		2,010
13030	$1 under $25,000	710
13030	$25,000 under $50,000	530
13030	$50,000 under $75,000	340
13030	$75,000 under $100,000	190
13030	$100,000 under $200,000	210
13030	$200,000 or more	30
		
13031		8,370
13031	$1 under $25,000	2620
13031	$25,000 under $50,000	1810
13031	$50,000 under $75,000	1320
13031	$75,000 under $100,000	880
13031	$100,000 under $200,000	1430
13031	$200,000 or more	310
		
13032		5,910
13032	$1 under $25,000	2340
13032	$25,000 under $50,000	1450
13032	$50,000 under $75,000	930
13032	$75,000 under $100,000	540
13032	$100,000 under $200,000	580
13032	$200,000 or more	70
		
13033		1,690
13033	$1 under $25,000	590
13033	$25,000 under $50,000	430
13033	$50,000 under $75,000	290
13033	$75,000 under $100,000	180
13033	$100,000 under $200,000	200
13033	$200,000 or more	**
		
13034		890
13034	$1 under $25,000	310
13034	$25,000 under $50,000	220
13034	$50,000 under $75,000	130
13034	$75,000 under $100,000	100
13034	$100,000 under $200,000	130
13034	$200,000 or more	**
		
13035		3,820
13035	$1 under $25,000	1200
13035	$25,000 under $50,000	640
13035	$50,000 under $75,000	540
13035	$75,000 under $100,000	400
13035	$100,000 under $200,000	690
13035	$200,000 or more	350
		
13036		4,190
13036	$1 under $25,000	1570
13036	$25,000 under $50,000	1070
13036	$50,000 under $75,000	620
13036	$75,000 under $100,000	440
13036	$100,000 under $200,000	440
13036	$200,000 or more	50
		
13037		4,300
13037	$1 under $25,000	1480
13037	$25,000 under $50,000	1040
13037	$50,000 under $75,000	610
13037	$75,000 under $100,000	410
13037	$100,000 under $200,000	660
13037	$200,000 or more	100
		
13039		8,740
13039	$1 under $25,000	2710
13039	$25,000 under $50,000	1650
13039	$50,000 under $75,000	1290
13039	$75,000 under $100,000	1050
13039	$100,000 under $200,000	1730
13039	$200,000 or more	310
		
13040		1,120
13040	$1 under $25,000	420
13040	$25,000 under $50,000	330
13040	$50,000 under $75,000	180
13040	$75,000 under $100,000	100
13040	$100,000 under $200,000	90
13040	$200,000 or more	**
		
13041		5,570
13041	$1 under $25,000	1670
13041	$25,000 under $50,000	1190
13041	$50,000 under $75,000	890
13041	$75,000 under $100,000	760
13041	$100,000 under $200,000	950
13041	$200,000 or more	110
		
13042		1,030
13042	$1 under $25,000	390
13042	$25,000 under $50,000	260
13042	$50,000 under $75,000	160
13042	$75,000 under $100,000	120
13042	$100,000 under $200,000	100
13042	$200,000 or more	**
		
13044		1,220
13044	$1 under $25,000	430
13044	$25,000 under $50,000	310
13044	$50,000 under $75,000	210
13044	$75,000 under $100,000	120
13044	$100,000 under $200,000	130
13044	$200,000 or more	20
		
13045		11,520
13045	$1 under $25,000	4650
13045	$25,000 under $50,000	2910
13045	$50,000 under $75,000	1640
13045	$75,000 under $100,000	1000
13045	$100,000 under $200,000	1120
13045	$200,000 or more	200
		
13052		850
13052	$1 under $25,000	310
13052	$25,000 under $50,000	240
13052	$50,000 under $75,000	130
13052	$75,000 under $100,000	90
13052	$100,000 under $200,000	80
13052	$200,000 or more	**
		
13053		2,150
13053	$1 under $25,000	750
13053	$25,000 under $50,000	500
13053	$50,000 under $75,000	330
13053	$75,000 under $100,000	200
13053	$100,000 under $200,000	320
13053	$200,000 or more	50
		
13054		720
13054	$1 under $25,000	280
13054	$25,000 under $50,000	190
13054	$50,000 under $75,000	110
13054	$75,000 under $100,000	80
13054	$100,000 under $200,000	60
13054	$200,000 or more	**
		
13057		7,930
13057	$1 under $25,000	2810
13057	$25,000 under $50,000	2100
13057	$50,000 under $75,000	1250
13057	$75,000 under $100,000	740
13057	$100,000 under $200,000	890
13057	$200,000 or more	140
		
13060		1,420
13060	$1 under $25,000	530
13060	$25,000 under $50,000	360
13060	$50,000 under $75,000	200
13060	$75,000 under $100,000	130
13060	$100,000 under $200,000	170
13060	$200,000 or more	30
		
13061		500
13061	$1 under $25,000	160
13061	$25,000 under $50,000	110
13061	$50,000 under $75,000	90
13061	$75,000 under $100,000	60
13061	$100,000 under $200,000	80
13061	$200,000 or more	**
		
13063		940
13063	$1 under $25,000	310
13063	$25,000 under $50,000	190
13063	$50,000 under $75,000	120
13063	$75,000 under $100,000	110
13063	$100,000 under $200,000	180
13063	$200,000 or more	30
		
13066		6,490
13066	$1 under $25,000	1790
13066	$25,000 under $50,000	1000
13066	$50,000 under $75,000	800
13066	$75,000 under $100,000	690
13066	$100,000 under $200,000	1350
13066	$200,000 or more	860
		
13068		2,530
13068	$1 under $25,000	880
13068	$25,000 under $50,000	620
13068	$50,000 under $75,000	440
13068	$75,000 under $100,000	240
13068	$100,000 under $200,000	300
13068	$200,000 or more	50
		
13069		10,640
13069	$1 under $25,000	4470
13069	$25,000 under $50,000	2770
13069	$50,000 under $75,000	1480
13069	$75,000 under $100,000	890
13069	$100,000 under $200,000	940
13069	$200,000 or more	90
		
13071		470
13071	$1 under $25,000	170
13071	$25,000 under $50,000	120
13071	$50,000 under $75,000	80
13071	$75,000 under $100,000	50
