"ZIP
code [1]"	Size of adjusted gross income	Number of returns
10069	$200,000 or more	1200
		
10075		14,320
10075	$1 under $25,000	2320
10075	$25,000 under $50,000	1800
10075	$50,000 under $75,000	2030
10075	$75,000 under $100,000	1580
10075	$100,000 under $200,000	3000
10075	$200,000 or more	3590
		
10128		33,260
10128	$1 under $25,000	6190
10128	$25,000 under $50,000	4940
10128	$50,000 under $75,000	5030
10128	$75,000 under $100,000	3500
10128	$100,000 under $200,000	6250
10128	$200,000 or more	7350
		
10162		740
10162	$1 under $25,000	100
10162	$25,000 under $50,000	50
10162	$50,000 under $75,000	60
10162	$75,000 under $100,000	60
10162	$100,000 under $200,000	190
10162	$200,000 or more	280
		
10280		4,180
10280	$1 under $25,000	510
10280	$25,000 under $50,000	440
10280	$50,000 under $75,000	430
10280	$75,000 under $100,000	420
10280	$100,000 under $200,000	1190
10280	$200,000 or more	1190
		
10282		2,240
10282	$1 under $25,000	230
10282	$25,000 under $50,000	140
10282	$50,000 under $75,000	120
10282	$75,000 under $100,000	120
10282	$100,000 under $200,000	380
10282	$200,000 or more	1250
		
10301		17,770
10301	$1 under $25,000	6660
10301	$25,000 under $50,000	3820
10301	$50,000 under $75,000	2540
10301	$75,000 under $100,000	1660
10301	$100,000 under $200,000	2320
10301	$200,000 or more	770
		
10302		7,950
10302	$1 under $25,000	3440
10302	$25,000 under $50,000	1780
10302	$50,000 under $75,000	1020
10302	$75,000 under $100,000	670
10302	$100,000 under $200,000	930
10302	$200,000 or more	110
		
10303		11,900
10303	$1 under $25,000	5360
10303	$25,000 under $50,000	2810
10303	$50,000 under $75,000	1560
10303	$75,000 under $100,000	980
10303	$100,000 under $200,000	1110
10303	$200,000 or more	80
		
10304		19,130
10304	$1 under $25,000	8180
10304	$25,000 under $50,000	4220
10304	$50,000 under $75,000	2300
10304	$75,000 under $100,000	1530
10304	$100,000 under $200,000	2100
10304	$200,000 or more	800
		
10305		18,890
10305	$1 under $25,000	6700
10305	$25,000 under $50,000	3930
10305	$50,000 under $75,000	2890
10305	$75,000 under $100,000	2010
10305	$100,000 under $200,000	2830
10305	$200,000 or more	530
		
10306		26,280
10306	$1 under $25,000	8300
10306	$25,000 under $50,000	4990
10306	$50,000 under $75,000	3850
10306	$75,000 under $100,000	3030
10306	$100,000 under $200,000	4980
10306	$200,000 or more	1130
		
10307		6,220
10307	$1 under $25,000	1840
