"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
11226,"23360","15390","7230","3080","2500","510","52070","29345",1610
11228,"8260","4010","2430","1690","2450","870","19710","34944",460
11229,"14850","7940","4770","3110","4320","1360","36350","35469",860
11230,"15200","8330","4500","2540","3340","1580","35490","32638",810
11231,"4320","2880","2300","1580","3250","2690","17020","64239",570
11232,"6290","3130","1670","780","790","200","12860","26118",290
11233,"14410","9310","4410","1920","1620","310","31980","29243",1020
11234,"14380","9770","6460","4360","6000","1590","42560","42656",1140
11235,"16790","8410","4900","3090","4160","1350","38700","32610",930
11236,"19250","13560","7240","3900","3610","360","47920","33684",1430
11237,"10550","7390","3350","1250","1030","160","23730","29449",700
11238,"7750","6650","5750","3350","4920","2520","30940","54652",940
11239,"2880","2210","1320","490","310","0","7210","33201",210
11354,"17930","5670","2820","1680","1870","450","30420","21207",470
11355,"34950","8470","3520","1800","1850","370","50960","18226",610
11356,"5860","2920","1470","900","1040","190","12380","27825",300
11357,"6160","3560","2890","2150","3730","1360","19850","51773",480
11358,"8030","3830","2320","1540","2510","750","18980","34530",340
11360,"2690","1630","1400","1210","2230","880","10040","62500",200
11361,"4950","2770","1930","1380","2200","700","13930","43186",310
11362,"2500","1580","1220","1060","1760","620","8740","55943",180
11363,"970","560","460","350","630","460","3430","60054",70
11364,"6060","3430","2580","1930","2950","850","17800","45700",320
11365,"8690","4620","2850","1930","2770","610","21470","36066",540
11366,"2460","1320","870","590","1080","410","6730","42140",110
11367,"7950","4100","2570","1570","2050","620","18860","34024",410
11368,"27870","12450","4960","1860","1300","90","48530","21766",960
11369,"8830","4610","2320","1070","1010","110","17950","25786",470
11370,"5980","3060","1810","990","1190","200","13230","30188",340
11372,"15910","8280","4810","2470","2880","670","35020","29831",860
11373,"27380","12280","5910","2610","2360","330","50870","23224",950
11374,"7960","4840","3760","2470","3130","740","22900","43027",550
11375,"9000","5930","5610","4350","7320","3260","35470","62500",900
11377,"20980","11150","6270","3220","3350","520","45490","28957",1020
11378,"6730","4020","2570","1710","2170","440","17640","37998",490
11379,"5550","3590","2860","1950","3070","730","17750","48155",510
11385,"19640","12760","7620","3880","4320","570","48790","34316",1510
11411,"3620","2850","1810","1140","1210","130","10760","40439",250
11412,"7580","5500","2970","1640","1480","110","19280","34364",490
11413,"7920","5760","3580","2060","2170","220","21710","37739",540
11414,"3780","2760","2280","1630","2350","520","13320","51316",420
11415,"2940","2040","1790","1130","1440","330","9670","48223",250
11416,"6080","3390","1580","680","560","40","12330","25627",390
11417,"6370","3910","2120","1160","1250","150","14960","32097",500
11418,"8150","4520","2340","1180","1290","230","17710","28899",470
11419,"11940","6370","2820","1280","1050","100","23560","24665",500
11420,"10010","6320","3240","1690","1610","150","23020","30934",570
11421,"9220","5310","2820","1390","1430","140","20310","29402",610
11422,"5930","4510","2690","1590","1660","180","16560","38027",410
11423,"6370","4180","2090","1150","1200","290","15280","32596",320
11426,"3050","1870","1360","980","1570","300","9130","45254",180
11427,"4110","2780","1780","1200","1460","360","11690","40603",250
11428,"3940","2640","1530","910","1010","90","10120","35606",240
11429,"5330","3810","1960","1070","1060","70","13300","33661",330
11430,"60","40","50","30","0","0","180","43750",0
11432,"13450","6880","3460","1800","2100","630","28320","27580",540
11433,"8020","4600","2090","960","810","60","16540","26359",440
11434,"12710","9480","5410","2660","2160","160","32580","34441",820
11435,"11830","6780","3760","1990","1830","180","26370","29996",640
11436,"4170","2770","1480","710","570","30","9730","31273",240
11548,"220","110","90","50","130","100","700","55556",0
11553,"6060","4250","1990","1070","1050","90","14510","32029",460
11557,"1040","560","480","350","840","850","4120","73958",60
11559,"1200","560","440","290","510","860","3860","59659",50
11561,"4950","3360","2900","2370","4050","1810","19440","62155",500
11563,"3030","2020","1700","1360","2680","840","11630","61250",300
