"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"11214_201404","Brooklyn","HousCond_[0,70]","H","M","L","VH","VH","L","H","M","VH","L","H","MH","H","VH","H",26170,1900
"11215_201404","Brooklyn","HousCond_[0,70]","H","H","H","VH","VH","H","M","H","VH","M","H","M","MH","VH","H",67768,1620
"11216_201404","Brooklyn","HousCond_[0,70]","M","VH","M","H","M","H","MH","M","VH","H","H","M","H","OC","VH",32457,1680
"11217_201404","Brooklyn","HousCond_[0,70]","L","M","H","H","H","H","MH","H","H","M","MH","M","MH","VH","H",59625,920
"11218_201404","Brooklyn","HousCond_[0,70]","MH","M","L","VH","H","H","M","M","VH","M","H","MH","L","M","ML",31339,1430
"11219_201404","Brooklyn","HousCond_[0,70]","MH","M","VL","VH","VH","L","MH","L","H","M","MH","L","L","M","ML",19920,1010
"11220_201404","Brooklyn","HousCond_[0,70]","H","H","H","VH","VH","M","MH","M","VH","M","H","MH","MH","OC","VH",17992,1470
"11221_201404","Brooklyn","HousCond_[0,70]","MH","VH","M","H","M","H","MH","M","VH","H","H","MH","H","OC","VH",24854,2240
"11222_201404","Brooklyn","HousCond_[0,70]","M","H","M","H","VH","H","L","M","VH","H","MH","M","L","H","M",45713,1490
"11223_201404","Brooklyn","HousCond_[0,70]","H","H","H","VH","H","M","H","L","VH","L","MH","M","MH","VH","H",26143,1510
"11224_201404","Brooklyn","HousCond_[0,70]","M","M","L","L","M","VL","M","L","M","VL","L","M","MH","OC","VH",24501,1130
"11225_201404","Brooklyn","HousCond_[0,70]","M","VH","M","H","M","M","MH","M","VH","M","MH","MH","MH","H","H",30300,1840
"11226_201404","Brooklyn","HousCond_[0,70]","MH","VH","H","VH","H","H","H","M","VH","H","MH","MH","H","OC","VH",25135,3320
"11228_201404","Brooklyn","HousCond_[0,70]","M","M","VL","H","H","L","MH","L","H","L","M","L","M","H","H",34935,910
"11229_201404","Brooklyn","HousCond_[0,70]","H","H","M","VH","VH","L","H","M","VH","M","H","MH","MH","VH","VH",34534,1670
"11230_201404","Brooklyn","HousCond_[0,70]","MH","H","L","VH","VH","M","H","M","VH","M","H","MH","M","VH","H",30873,1470
"11231_201404","Brooklyn","HousCond_[0,70]","MH","M","H","H","H","M","MH","H","H","M","H","L","M","VH","H",58125,970
"11232_201404","Brooklyn","HousCond_[0,70]","L","M","M","H","H","M","MH","L","H","M","H","L","MH","VH","H",23730,520
"11233_201404","Brooklyn","HousCond_[0,70]","MH","VH","L","M","M","M","H","M","VH","H","MH","MH","H","OC","VH",26001,1980
"11234_201404","Brooklyn","HousCond_[0,70]","H","H","M","VH","VH","H","H","L","VH","L","H","M","H","OC","VH",40849,2320
"11235_201404","Brooklyn","HousCond_[0,70]","H","H","M","VH","VH","L","H","M","VH","L","H","MH","MH","VH","H",31305,1630
"11236_201404","Brooklyn","HousCond_[0,70]","MH","H","M","VH","VH","VL","H","VL","VH","L","H","MH","H","VH","VH",31134,3020
"11237_201404","Brooklyn","HousCond_[0,70]","M","VH","L","H","M","H","M","H","M","H","M","L","L","M","ML",24602,1250
"11238_201404","Brooklyn","HousCond_[0,70]","M","VH","M","H","M","H","MH","H","VH","H","MH","MH","MH","VH","VH",48155,1650
"11239_201404","Brooklyn","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","L","L","H","ML",32091,390
"11249_201404","Brooklyn","HousCond_[0,70]","M","H","M","M","M","H","L","H","H","H","M","VL","MH","VH","VH",NA,NA
"11354_201404","Queens","HousCond_[0,70]","H","M","H","H","H","VL","MH","M","H","L","MH","L","M","H","M",21044,910
"11355_201404","Queens","HousCond_[0,70]","H","M","M","VH","H","M","MH","M","VH","L","M","MH","MH","OC","VH",18164,1120
"11356_201404","Queens","HousCond_[0,70]","M","M","L","H","H","L","M","L","H","H","L","L","M","H","M",27203,610
"11357_201404","Queens","HousCond_[0,70]","H","L","VL","H","VH","VL","H","M","H","L","H","L","M","M","ML",50405,890
"11358_201404","Queens","HousCond_[0,70]","MH","L","VL","VH","H","L","MH","L","H","VL","H","L","L","M","ML",34673,670
"11360_201404","Queens","HousCond_[0,70]","MH","L","VL","L","L","VL","L","L","L","VL","M","VL","L","M","ML",62158,380
"11361_201404","Queens","HousCond_[0,70]","MH","L","L","M","H","L","M","L","H","VL","H","VL","M","H","M",42554,560
"11362_201404","Queens","HousCond_[0,70]","H","L","VL","L","VH","VL","M","M","M","VL","M","VL","L","M","ML",53862,330
"11363_201404","Queens","HousCond_[0,70]","L","L","VL","L","L","VL","MH","L","L","VL","L","L","L","M","ML",60465,100
"11364_201404","Queens","HousCond_[0,70]","MH","L","L","M","M","VL","MH","VL","M","VL","MH","L","L","M","M",45846,660
"11365_201404","Queens","HousCond_[0,70]","MH","M","VL","H","H","VL","H","L","H","VL","MH","M","M","H","M",36143,1090
"11366_201404","Queens","HousCond_[0,70]","L","L","VL","M","M","VL","H","L","M","VL","M","VL","L","M","ML",41797,240
"11367_201404","Queens","HousCond_[0,70]","MH","M","L","M","M","L","L","L","H","VL","MH","VL","L","M","ML",34670,770
"11368_201404","Queens","HousCond_[0,70]","H","H","L","VH","H","M","MH","VL","H","M","H","MH","MH","OC","VH",20607,1850
"11369_201404","Queens","HousCond_[0,70]","MH","H","M","VH","L","VL","L","L","M","VL","L","L","L","H","M",23846,840
"11370_201404","Queens","HousCond_[0,70]","M","L","L","H","M","VL","M","VL","M","VL","M","VL","L","H","H",27303,540
"11372_201404","Queens","HousCond_[0,70]","MH","VH","H","H","H","H","M","L","M","H","MH","MH","MH","VH","H",25907,1510
"11373_201404","Queens","HousCond_[0,70]","H","VH","H","VH","H","L","M","M","VH","L","M","MH","MH","OC","VH",22001,1720
"11374_201404","Queens","HousCond_[0,70]","MH","H","L","VH","VH","VL","L","M","L","VL","H","M","M","H","M",41258,1020
"11375_201404","Queens","HousCond_[0,70]","H","H","M","H","VH","L","H","M","H","L","H","MH","M","H","M",59592,1540
"11377_201404","Queens","HousCond_[0,70]","H","H","M","VH","VH","M","MH","M","VH","M","MH","MH","H","VH","H",25912,1940
"11378_201404","Queens","HousCond_[0,70]","H","M","L","VH","VH","L","H","M","H","VL","MH","L","M","H","M",36506,1040
"11379_201404","Queens","HousCond_[0,70]","MH","M","L","VH","M","VL","MH","L","M","L","H","VL","M","VH","M",46604,980
