"ZIP","offCat"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10469","FELONY"
"11234","MISDEMEANOR"
"11435","FELONY"
"11433","FELONY"
"11433","FELONY"
"11433","FELONY"
"11204","MISDEMEANOR"
"00083","FELONY"
"11433","MISDEMEANOR"
"11103","VIOLATION"
"10464","MISDEMEANOR"
"11105","MISDEMEANOR"
"10036","FELONY"
"10306","FELONY"
"11373","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11373","MISDEMEANOR"
"00083","FELONY"
"11416","MISDEMEANOR"
"10469","MISDEMEANOR"
"11216","MISDEMEANOR"
"11208","MISDEMEANOR"
"10458","FELONY"
"11231","FELONY"
"10036","FELONY"
"11691","FELONY"
"10029","FELONY"
"10301","MISDEMEANOR"
"10310","MISDEMEANOR"
"10301","MISDEMEANOR"
"11355","MISDEMEANOR"
"11215","MISDEMEANOR"
"11215","MISDEMEANOR"
"11215","MISDEMEANOR"
"11215","MISDEMEANOR"
"10460","VIOLATION"
"11239","MISDEMEANOR"
"10460","MISDEMEANOR"
"11219","FELONY"
"11372","MISDEMEANOR"
"11211","MISDEMEANOR"
"11211","MISDEMEANOR"
"11211","MISDEMEANOR"
"11374","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"00083","FELONY"
"11249","FELONY"
"11358","FELONY"
"10465","MISDEMEANOR"
"11249","MISDEMEANOR"
"10026","MISDEMEANOR"
"10310","FELONY"
"11435","MISDEMEANOR"
"10314","MISDEMEANOR"
"11374","FELONY"
"11231","MISDEMEANOR"
"11211","MISDEMEANOR"
"11418","MISDEMEANOR"
"11223","MISDEMEANOR"
"10457","MISDEMEANOR"
"11365","MISDEMEANOR"
"10032","MISDEMEANOR"
"11385","FELONY"
"11385","MISDEMEANOR"
"10002","MISDEMEANOR"
"10469","MISDEMEANOR"
"11234","MISDEMEANOR"
"10460","VIOLATION"
"10012","FELONY"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","MISDEMEANOR"
"10457","FELONY"
"11361","MISDEMEANOR"
"10002","FELONY"
"10038","FELONY"
"00083","FELONY"
"10075","FELONY"
"10457","MISDEMEANOR"
"11418","MISDEMEANOR"
"11249","VIOLATION"
"11229","FELONY"
"11233","MISDEMEANOR"
"11378","MISDEMEANOR"
"11385","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11385","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11373","MISDEMEANOR"
"11373","MISDEMEANOR"
"11385","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11379","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"11379","MISDEMEANOR"
"10463","FELONY"
"11378","MISDEMEANOR"
"11373","MISDEMEANOR"
"11385","MISDEMEANOR"
"11379","MISDEMEANOR"
"11434","MISDEMEANOR"
"11228","MISDEMEANOR"
"11435","FELONY"
"11226","MISDEMEANOR"
"11414","FELONY"
"10305","MISDEMEANOR"
"10305","MISDEMEANOR"
"10305","MISDEMEANOR"
"11207","MISDEMEANOR"
"10452","FELONY"
"10457","MISDEMEANOR"
"10011","MISDEMEANOR"
"11433","VIOLATION"
"11205","MISDEMEANOR"
"11377","VIOLATION"
"11221","FELONY"
"11375","MISDEMEANOR"
"11375","MISDEMEANOR"
"11364","MISDEMEANOR"
"11361","MISDEMEANOR"
"10035","FELONY"
"10040","MISDEMEANOR"
"11375","MISDEMEANOR"
"11419","MISDEMEANOR"
"11211","MISDEMEANOR"
"10310","MISDEMEANOR"
"10310","MISDEMEANOR"
"11211","MISDEMEANOR"
"11211","MISDEMEANOR"
"11211","MISDEMEANOR"
"11211","MISDEMEANOR"
"11436","FELONY"
"10019","FELONY"
"10459","MISDEMEANOR"
"11205","FELONY"
"10459","MISDEMEANOR"
"11238","FELONY"
"11223","MISDEMEANOR"
"10128","FELONY"
"10037","FELONY"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11249","MISDEMEANOR"
"11217","FELONY"
"11235","MISDEMEANOR"
"11226","VIOLATION"
"11361","MISDEMEANOR"
"11203","MISDEMEANOR"
"11203","MISDEMEANOR"
"11221","MISDEMEANOR"
"10011","FELONY"
"11209","MISDEMEANOR"
"10453","MISDEMEANOR"
"11232","FELONY"
"11233","MISDEMEANOR"
"10456","FELONY"
"11205","FELONY"
"10314","MISDEMEANOR"
"10466","FELONY"
"10309","MISDEMEANOR"
"10065","MISDEMEANOR"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"10455","MISDEMEANOR"
"10455","MISDEMEANOR"
"10451","MISDEMEANOR"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"10454","MISDEMEANOR"
"11201","FELONY"
