"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt"
"11209","Brooklyn","15","71","91","18","36","116","154","14","36","16","12","31","45"
"11210","Brooklyn","7","60","89","12","4","100","107","5","39","14","8","30","28"
"11211","Brooklyn","39","100","125","55","87","143","63","88","38","34","6","28","45"
"11212","Brooklyn","8","57","189","3","6","61","72","14","34","22","13","19","24"
"11213","Brooklyn","4","70","151","5","11","30","68","20","27","12","14","12","23"
"11214","Brooklyn","13","107","58","7","5","100","176","8","58","13","24","54","82"
"11215","Brooklyn","14","120","87","35","37","111","116","16","29","24","9","53","81"
"11216","Brooklyn","8","97","206","14","65","35","56","38","38","14","10","16","59"
"11217","Brooklyn","12","45","61","45","50","74","80","19","36","33","7","14","36"
"11218","Brooklyn","10","63","58","16","28","80","125","13","22","12","18","32","62"
"11219","Brooklyn","9","54","45","4","9","89","123","13","40","1","6","30","29"
"11220","Brooklyn","15","104","109","19","22","112","131","20","39","31","18","43","56"
"11221","Brooklyn","24","81","193","6","39","52","80","45","43","16","15","33","86"
"11222","Brooklyn","28","66","65","14","30","95","66","29","17","15","7","17","34"
"11223","Brooklyn","4","56","67","2","24","71","205","6","60","26","7","40","41"
"11224","Brooklyn","6","19","58","2","2","48","19","2","22","11","11","23","10"
"11225","Brooklyn","13","63","155","12","15","55","60","22","31","16","21","16","29"
"11226","Brooklyn","21","73","324","12","143","84","140","39","67","30","32","25","38"
"11228","Brooklyn","5","39","31","2","6","67","82","5","38","5","3","18","22"
"11229","Brooklyn","13","81","106","10","5","123","140","12","53","19","14","41","73"
"11230","Brooklyn","14","94","119","10","14","104","190","23","50","13","16","33","129"
"11231","Brooklyn","18","53","56","27","20","75","59","15","40","24","4","27","76"
"11232","Brooklyn","5","46","56","3","24","58","58","14","35","19","4","10","45"
"11233","Brooklyn","20","96","127","9","13","51","50","29","50","10","13","28","29"
"11234","Brooklyn","15","77","117","5","28","162","204","8","86","22","11","53","124"
"11235","Brooklyn","16","65","94","14","7","110","129","8","84","21","25","49","103"
"11236","Brooklyn","11","84","71","1","3","89","130","8","105","22","13","24","147"
"11237","Brooklyn","12","28","134","23","31","35","62","50","27","7","5","18","17"
"11238","Brooklyn","28","60","177","25","52","49","70","46","36","14","18","20","39"
"11239","Brooklyn","2","2","18","0","0","13","1","0","2","2","4","2","4"
"11249","Brooklyn","23","36","72","30","58","50","45","35","18","14","0","18","18"
"11251","Brooklyn","0","0","0","0","0","0","1","0","0","0","0","0","0"
"11354","Queens","12","36","51","7","2","87","67","9","43","24","3","54","41"
"11355","Queens","11","60","53","13","16","58","114","5","30","17","17","61","26"
"11356","Queens","15","50","34","4","5","58","82","24","29","7","5","15","16"
"11357","Queens","8","50","29","6","1","103","60","8","64","5","3","37","84"
"11358","Queens","7","49","17","4","5","85","107","2","40","4","4","32","66"
"11359","Queens","0","1","0","0","0","0","0","0","0","0","0","0","0"
"11360","Queens","1","10","9","4","1","27","16","3","18","1","2","27","21"
"11361","Queens","1","33","15","2","5","81","44","2","28","7","1","33","48"
"11362","Queens","2","20","2","13","1","122","17","2","23","3","1","36","26"
"11363","Queens","2","10","2","2","0","16","14","0","41","2","3","7","9"
"11364","Queens","5","30","15","1","0","47","27","0","30","6","5","28","34"
"11365","Queens","3","44","54","2","1","78","75","3","75","1","9","24","40"
"11366","Queens","3","23","11","2","0","38","36","2","53","3","0","14","19"
"11367","Queens","5","38","48","3","6","55","40","1","11","10","2","30","27"
"11368","Queens","3","49","108","0","18","58","178","14","43","11","12","69","51"
"11369","Queens","2","27","66","2","1","32","113","3","12","22","5","24","13"
"11370","Queens","0","20","23","0","2","42","63","4","24","8","2","21","26"
"11371","Queens","0","0","0","0","0","1","1","0","0","2","0","0","0"
"11372","Queens","10","26","129","5","36","64","67","24","22","26","20","33","40"
"11373","Queens","5","66","128","6","6","61","115","7","29","29","16","55","19"
"11374","Queens","14","18","72","15","3","97","100","4","16","8","10","25","48"
"11375","Queens","20","47","62","11","6","124","81","5","51","18","24","79","65"
"11377","Queens","10","107","109","16","20","104","170","16","35","22","12","44","40"
"11378","Queens","4","35","38","6","4","93","117","3","58","7","4","36","41"
"11379","Queens","4","29","31","4","0","49","89","5","41","8","1","31","54"
"11385","Queens","2","94","110","13","31","132","236","19","57","20","9","63","97"
"11411","Queens","3","16","6","0","4","18","24","18","27","2","2","9","29"
"11412","Queens","4","33","33","0","5","48","39","13","52","6","3","16","41"
"11413","Queens","4","33","22","2","3","49","37","6","68","5","0","21","48"
"11414","Queens","6","40","22","0","4","62","36","1","58","4","9","26","131"
