"ZIP","Date","offCat","planeX","planeY","GPS"
"11221",2015-04-01,"MISDEMEANOR",1001774,193874,"(40.698806981, -73.936803094)"
"11226",2015-04-01,"MISDEMEANOR",993450,175722,"(40.648996383, -73.966847441)"
"11239",2015-04-01,"MISDEMEANOR",1018108,179088,"(40.658175371, -73.877970685)"
"10010",2015-04-01,"MISDEMEANOR",991590,210258,"(40.743791418, -73.973512685)"
"11203",2015-04-01,"FELONY",1000204,173775,"(40.643642698, -73.94251269)"
"11101",2015-04-01,"MISDEMEANOR",1004921,216892,"(40.761978952, -73.925383086)"
"11418",2015-04-01,"MISDEMEANOR",1031724,194504,"(40.700426194, -73.828787506)"
"10029",2015-04-01,"FELONY",1000414,230243,"(40.7986333, -73.941620371)"
"11233",2015-04-01,"MISDEMEANOR",1004448,185438,"(40.675646399, -73.927184904)"
"11233",2015-04-01,"MISDEMEANOR",1004838,185411,"(40.675571392, -73.925778983)"
"11203",2015-04-01,"FELONY",999872,176164,"(40.650200579, -73.943703488)"
"10457",2015-04-01,"MISDEMEANOR",1012403,249741,"(40.852119675, -73.898236763)"
"10460",2015-04-01,"MISDEMEANOR",1014362,245499,"(40.840470176, -73.891174619)"
"10314",2015-04-01,"MISDEMEANOR",945449,166800,"(40.624427193, -74.139777027)"
"10023",2015-04-01,"FELONY",988494,223738,"(40.780792583, -73.984677094)"
"11249",2015-04-01,"MISDEMEANOR",997004,200632,"(40.717364253, -73.953992763)"
"10459",2015-04-01,"FELONY",1015613,243722,"(40.835588476, -73.886661734)"
"11226",2015-04-01,"MISDEMEANOR",994492,174982,"(40.6469641, -73.963093514)"
"11221",2015-04-01,"FELONY",1004665,191387,"(40.691974547, -73.926384567)"
"10029",2015-04-01,"MISDEMEANOR",1001666,229217,"(40.795814831, -73.937101065)"
"10029",2015-04-01,"MISDEMEANOR",1001028,229572,"(40.796790443, -73.939404406)"
"10029",2015-04-01,"MISDEMEANOR",1000635,230119,"(40.798292547, -73.940822467)"
"10029",2015-04-01,"MISDEMEANOR",1000209,230356,"(40.798943827, -73.942360522)"
"10029",2015-04-01,"MISDEMEANOR",999724,230626,"(40.799685766, -73.944111629)"
"10035",2015-04-01,"MISDEMEANOR",1001131,233647,"(40.807975005, -73.939022156)"
"10029",2015-04-01,"MISDEMEANOR",1001168,229824,"(40.797481848, -73.938898134)"
"10029",2015-04-01,"MISDEMEANOR",1001168,229824,"(40.797481848, -73.938898134)"
"10029",2015-04-01,"MISDEMEANOR",1001168,229824,"(40.797481848, -73.938898134)"
"10029",2015-04-01,"MISDEMEANOR",1001806,230243,"(40.798630644, -73.936592753)"
"10029",2015-04-01,"MISDEMEANOR",1000345,230119,"(40.79829308, -73.941869883)"
"10035",2015-04-01,"MISDEMEANOR",1001371,232451,"(40.804691853, -73.938158254)"
"10035",2015-04-01,"MISDEMEANOR",1001797,232216,"(40.804046007, -73.936620103)"
"10035",2015-04-01,"MISDEMEANOR",1001797,232216,"(40.804046007, -73.936620103)"
"10029",2015-04-01,"MISDEMEANOR",1000635,230119,"(40.798292547, -73.940822467)"
"11233",2015-04-01,"VIOLATION",1003656,187150,"(40.680347223, -73.930035241)"
"11417",2015-04-01,"MISDEMEANOR",1026711,185637,"(40.67611382, -73.846922623)"
"10039",2015-04-01,"VIOLATION",1001373,243512,"(40.835051174, -73.938122808)"
"11221",2015-04-01,"MISDEMEANOR",1007662,193988,"(40.699106266, -73.915568293)"
"11385",2015-04-01,"MISDEMEANOR",1005889,195528,"(40.703337718, -73.921957498)"
