"ZIP","Borough","Violation","Misdemeanor","Felony"
"11419","Queens","27","85","83"
"11420","Queens","16","59","64"
"11421","Queens","9","33","20"
"11422","Queens","27","59","58"
"11423","Queens","8","45","21"
"11426","Queens","5","26","20"
"11427","Queens","6","23","8"
"11428","Queens","18","33","27"
"11429","Queens","18","57","46"
"11430","Queens","3","26","14"
"11432","Queens","18","64","50"
"11433","Queens","70","282","131"
"11434","Queens","55","288","208"
"11435","Queens","29","139","78"
"11436","Queens","2","13","12"
"11691","Queens","35","145","116"
"11692","Queens","16","59","36"
"11693","Queens","9","23","31"
"11694","Queens","6","41","29"
"11697","Queens","0","3","4"
"99999","99999","11","473","193"
