"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
11203,"Brooklyn",15,122,108,5,8,116,138,15,70,15,14,31,46,71,285,164,28722,2230
11204,"Brooklyn",10,58,84,12,5,71,160,17,41,12,10,32,31,28,111,61,24142,1450
11205,"Brooklyn",10,47,75,22,69,63,100,26,62,7,7,16,34,22,118,74,34790,970
11206,"Brooklyn",16,79,220,37,114,45,103,42,45,29,7,20,32,12,48,22,23995,2140
11207,"Brooklyn",10,89,197,5,21,131,120,16,51,23,10,30,44,142,543,329,22369,2720
11208,"Brooklyn",12,128,133,9,10,99,165,47,65,14,11,32,35,46,195,136,21726,2650
11209,"Brooklyn",15,71,91,18,36,116,154,14,36,16,12,31,45,24,128,58,45591,1520
11210,"Brooklyn",7,60,89,12,4,100,107,5,39,14,8,30,28,13,75,24,32819,1660
11211,"Brooklyn",39,100,125,55,87,143,63,88,38,34,6,28,45,48,262,171,39800,1450
11212,"Brooklyn",8,57,189,3,6,61,72,14,34,22,13,19,24,19,46,25,22186,2590
11213,"Brooklyn",4,70,151,5,11,30,68,20,27,12,14,12,23,6,16,7,24931,1790
11214,"Brooklyn",13,107,58,7,5,100,176,8,58,13,24,54,82,54,170,81,26170,1900
11215,"Brooklyn",14,120,87,35,37,111,116,16,29,24,9,53,81,35,131,80,67768,1620
11216,"Brooklyn",8,97,206,14,65,35,56,38,38,14,10,16,59,89,400,208,32457,1680
11217,"Brooklyn",12,45,61,45,50,74,80,19,36,33,7,14,36,30,173,79,59625,920
11218,"Brooklyn",10,63,58,16,28,80,125,13,22,12,18,32,62,5,21,12,31339,1430
11219,"Brooklyn",9,54,45,4,9,89,123,13,40,1,6,30,29,5,29,14,19920,1010
11220,"Brooklyn",15,104,109,19,22,112,131,20,39,31,18,43,56,33,220,101,17992,1470
11221,"Brooklyn",24,81,193,6,39,52,80,45,43,16,15,33,86,94,348,221,24854,2240
11222,"Brooklyn",28,66,65,14,30,95,66,29,17,15,7,17,34,6,52,39,45713,1490
11223,"Brooklyn",4,56,67,2,24,71,205,6,60,26,7,40,41,31,155,82,26143,1510
11224,"Brooklyn",6,19,58,2,2,48,19,2,22,11,11,23,10,38,213,109,24501,1130
11225,"Brooklyn",13,63,155,12,15,55,60,22,31,16,21,16,29,34,78,57,30300,1840
